Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Pelagic_Trawl+Seine,PTS,2114.251938,11.61240005,2574.609967,3.32E-05,1.52E-01,0.007576876,0.175037,0,0.35140166,0
Otter30-70mm+TR3(sandeel+sprat),SST,125.2270514,15.17446269,166.2691453,0.011869163,6.846482629,0.007226122,0,0,0,0
Longline_mackerel,LLm,0.033421781,0.376415999,4.078629518,2.87E-05,0.012557314,0,0.085223,0,0,0
Beam_Trawl_BT1+BT2,BTf,0.012397248,21.69046824,0.002408176,0.619737216,0.815002506,0.000392445,0,0,0,0
Demersal_Seine,DS,1.11063428,24.08996747,0.218391624,0,0,0.04360925,0,0,0,0
Demersal_Otter_Trawl_TR1,OT,1.144219832,37.00640347,5.967706161,0.030354052,1.605078491,0.072497425,0,0,0,0
Gill_Nets+Longline_demersal,LLd,0.472324034,10.02716445,0.098028505,0.002774912,0.835558482,0.000338,0.010659,2.059146,1.812262,0
Beam_Trawl_shrimp,BTs,0,34.62135342,0,0.322176035,0,0,0,0,0,0
Nephrops_Trawl_TR3,NT,0.884086019,31.52983407,1.433616491,0.006295226,14.96377449,0.004135128,0,0,0,0
Creels,CR,6.29E-02,0.256134586,0.023879618,0.002858021,11.61229792,0,0,0,0.0326668,0
Mollusc_Dredge,MD,0.029750038,2.881449591,0.000537793,14.36392836,0.048182416,0,0,0,0,0
KelpHarvester,KH,0,0,0,0,0,0,0,0,0,32
