"Value","Description"
1.67593696873715e-05,"water_column_detritus_mineralisation_rate"
1.18652559618283e-07,"upper_layer_water_column_nitrification_rate"
2.38034611921163e-09,"upper_layer_water_column_denitrification_rate"
0.0305204741517638,"lower_layer_water_column_nitrification_rate"
4.87277098552581e-07,"lower_layer_water_column_denitrification_rate"
0.496202330044271,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000162707473892435,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.02613985182292,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0148527497041581,"sediment_detritus_mineralisation_rate"
-1.59820307328269e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.27613474295582e-05,"sediment_nitrification_rate"
-2.64507726661561e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.528099148514916,"sediment_denitrification_rate"
1.53654274779947e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0183701458258023,"conversion_rate_of_discards_to_corpses"
0.223250098037343,"conversion_rate_of_corpses_to_sediment_detritus"
0.0266925740010061,"conversion_rate_of_kelp_debris_to_detritus"
0.0981266042953727,"detritus_sinking_rate_in_the_upper_layers"
3.58018006570982e-06,"detritus_sinking_rate_in_the_lower_layer"
4.42233153030921e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00148149232549239,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.07448929513077,"fitting_parameter_for_undersize_demersal_fish_function"
