Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Pelagic_Trawl+Seine,PTS,0.0092463,0.014880503,0.030228923,0,0,0,1,1,1,0
Otter30-70mm+TR3(sandeel+sprat),SST,2.43E-04,0.177964245,0.135153491,0,0.004611626,0,1,1,1,0
Longline_mackerel,LLm,0,1.42E-08,0,0,0,0,1,1,1,0
Beam_Trawl_BT1+BT2,BTf,0.972916622,0.361680106,0.337918617,0.803887082,0.80472268,0,1,1,1,0
Demersal_Seine,DS,0,0,0,0,0,0,1,1,1,0
Demersal_Otter_Trawl_TR1,OT,0.223719512,0.297534428,0.940795743,0.80501331,0.20642735,0,1,1,1,0
Gill_Nets+Longline_demersal,LLd,9.95395E-06,0.069189048,0.011871701,0.001338924,0.367603729,0,1,1,1,0
Beam_Trawl_shrimp,BTs,0,0,0,0,0,0,1,1,1,0
Nephrops_Trawl_TR3,NT,0.996316721,0.485891136,0.899633332,0.937333351,0.09902194,0,1,1,1,0
Creels,CR,0,0,0,0,0.510923246,0,1,1,1,0
Mollusc_Dredge,MD,0.328159333,0.863799912,0.36603683,0.133160555,0.257730222,0,1,1,1,0
KelpHarvester,KH,0,0,0,0,0,0,0,0,0,0
