Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3
Pelagic_Trawl+Seine,PTS,0.003866014,0.000368717,0.029621359,0.007109185,0.082765475,0.023515631,0.404047407,0.44870621
Otter30-70mm+TR3(sandeel+sprat),SST,0.035093115,0.000585977,0.019262131,0.108127772,0.062304237,0.077840344,0.405459268,0.291327155
Longline_mackerel,LLm,0.080448487,3.90237E-05,0.001648913,0.375479612,0.060968015,0.00038446,0.006660478,0.474371012
Beam_Trawl_BT1+BT2,BTf,0,4.64121E-06,0.007518742,0.005401125,0,0.012558751,0.449115046,0.525401695
Demersal_Seine,DS,0.001353873,0,0.013535998,0.017083162,0.047710478,0.067670648,0.660425387,0.192220454
Demersal_Otter_Trawl_TR1,OT,0.003106908,9.0269E-05,0.007026461,0.010777922,0.071772544,0.107511848,0.498735289,0.300978758
Longline+Gill_Nets_demersal,LLd,0.034384394,0.000168407,0.009241398,0.139758698,0.084732927,0.020729334,0.204308942,0.506675902
Beam_Trawl_shrimp,BTs,0,0,0.827495902,0.124894214,0,0,0,0.047609884
Nephrops_Trawl_TR3,NT,0,0.079546168,0,0,0,0.920453832,0,0
Creels,CR,0.059875338,0.001142329,0.023319795,0.257100811,0.054941219,0.00364571,0.081303188,0.51867161
Mollusc_Dredge,MD,0,0.001795022,0.016638435,0.031299018,0,0.008785677,0.121795752,0.819686097
KelpHarvester,KH,1,0,0,0,0,0,0,0
