"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.025839956,1.81e-08,0.009190877,18.271599,NA,3.1e-08,NA,0.04138815
"phyt_s",NA,NA,2.876241262,4.301524543,NA,0.051417564,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.063279587,NA,NA
"omnivzoo",NA,NA,2.155825105,3.389976957,NA,3.35e-05,NA,NA
"carnzoo",NA,NA,0.154001331,1.086466303,NA,0.000209028,NA,0.003570746
"fishplar",NA,NA,0.314745919,6.407719589,NA,4.1e-06,NA,NA
"fishdlar",NA,NA,0.232686522,2.035724869,NA,5.79e-07,NA,NA
"fishp",NA,NA,0.133555539,2.126507551,NA,1.91e-05,0.001579128,0.874288045
"fishm",NA,NA,0.033269032,2.263950969,NA,1.69e-06,3.54e-05,0.684448782
"fishd",NA,NA,0.010948049,0.525789503,NA,3.76e-05,0.002204908,0.899809419
"benthslar",NA,NA,0.334369632,1.032842052,NA,9.63e-06,NA,NA
"benthclar",NA,NA,0.992552965,2.370807592,NA,2.54e-07,NA,NA
"benths",NA,NA,0.909766503,1.722305642,NA,0.000367413,NA,0.030433928
"benthc",NA,NA,0.026744952,9.016017057,NA,0.000397912,NA,0.154553198
"bird",NA,NA,0.648064473604281,0.994769424266143,4553.17928012639,0.0436711003575954,0.0097588,0.1000944
"seal",NA,NA,0.430476353829703,1.66854365353574,2113.56715295708,0.00509068757740676,0.009837035,0.099357706
"ceta",NA,NA,0.398119160486296,0.519155305852766,895.342247986399,0.00105037325609568,0.009984523,0.313324987
