Group,Inshore_harvest_ratio,Offshore_harvest_ratio,Use_1.yes_0.no,Comments
Planktivorous_fish,6.813215E-04,5.298735E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Demersal_fish,3.094622E-04,2.037310E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Migratory_fish,1.056859E-03,9.815369E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_susp-dep,3.237453E-04,1.907176E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_carn-scav,9.776963E-04,1.180443E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Zooplankton_carn,3.794937E-04,6.097108E-04,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Birds,1.873771E-06,1.424711E-06,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Pinnipeds,4.607779E-05,6.028260E-06,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Cetaceans,1.955383E-04,4.555754E-05,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Macrophytes,0.000000E+00,0.000000E+00,0,No_kelp_harvesting_in_the_North_Sea_model
